keyword,text,label
안전보건,산업안전보건위원회는 근로자 사고 예방 중심의 안건 및 활동을 실시하고 있으며 경영진단팀 주관 하에 안전보건계획 이행여부와 사업장 현장 위험요소 를 점검하고 결과에 따른 유해 위험 요인 및 리스크 를 개선해 나가고 있다.,s
동반성장,GS리테일은 국내 유일의 종합유통사로 동반성장 비전을 바탕으로 밸류 체인에 속한 다양한 이해관계자들의 동반 성장을 지원하고 보다 실질적이고 추진력 있는 동반성장 프로그램 운영을 위해 동반성장 5대 중점 추진과제를 선정하여 운영 중에 있다.,s
개인정보,GS리테일은 매월 사무실 물리 보안점검을 실시하고 악성메일 모의훈련을 통해 악성코드 및 정보탈취 피해를 사전 대응하고 있으며 업계 최초로 오프라인 POS용 백신 자체 개발 및 특허 획득을 통해 고객 결제 정보에 대한 악성코드를 사전 차단 하고 있습니다.,s
임직원,GS리테일은 안전한 근무환경 조성과 건강한 삶의 질 향상을 위해 최선을 다하고 있다.,s
프로그램,GS리테일은 파트너사 선정시 자율준수프로그램 절차에 따라 객관성을 확보함으로써 거래의 투명성과 공정성을 높이고 있다.,s
중소기업,GS리테일은 수출경험이 없는 우수 중소기업의 수출 지원과 현지화를 위해 현지 통관규정에 맞는 상품을 공동으로 개발 진행 중이며 국내 상품개발본부와 협력하여 상품개발 노하우 및 기술을 지원하고 있다.,s
온라인,GS리테일 온라인 서비스 유효기간 및 인증의 범위 인증의 범위 GS리테일 온라인 서비스 유효기간 인증의 범위 GS리테일 온라인 서비스 유효기간 GS리테일 온라인 서비스 유효기간 GS리테일 온라인 서비스 유효기간 GS리테일 온라인 서비스 유효기간 GS리테일 온라인 서비스 유효기간 GS리테일 온라인 서비스 유효기간 GS리테일 온라인 서비스 유효기간 GS리테일 온라인 서비스 유효기간,s
화학물질,GS리테일은 주기적으로 당사 의 화학물질 관리 프로세스를 점검하고 평가결과를 모니터링하여 관리 체계를 고도화시킬 계획입니다.,s
자율준수,공정거래 실천을 지속하고 있으며 책임있는 공정거래 실천을 지속하고 있습니다.,s
파트너사,GS리테일은 지속가능한 공급망 구축을 위해 파트너사와 함께 노력하고 있으며 ESG 리스크를 관리하여 비즈니스 영향을 최소화 하고 파트너사에게 교육 및 컨설팅을 지원하며 사회적 책임과 건전한 공급망 체계 구축을 위해 노력하고 있다.,s
컨설팅,FF제조업체는 HACCP을 취득 필수 조건으로 취득 운영되고 있으며 FF제조업체 및 자회사의 HACCP 취득과 원활한 운영을 위해 HACCP 컨설팅을 시작으로 연간 2회의 HACCP 외부 검증 업무를 진행하여 레포 트 제공과 개선 업무를 지원하고 있습니다.,s
공정거래,GS리테일은 자유경쟁의 원칙에 따라 상호 신뢰와 협력으로 공동의 발전을 도모하기 위해 자율적으로 공정거래를 실천하고 있으며 매년 3월30일 공정거래 선포식을 실시한다.,s
시스템,당사는 ISO9001 인증을 획득하여 제품 및 서비스에 이르는 전 생산 과정에 걸친 품질보증 체계를 의미하는 ISO9001에 입각한 품질 관리 프로세스 및 관리체계를 구축하여 다양한 활동들을 수행하고 있다.,s
사업장,회사는 사업장의 안전 보건 관련 법규 준수 상태를 확인하고 필요한 인력 예산 등을 편성하고 집행한다.,s
품질관리,GS리테일은 정기적으로 매장에 방문하여 법규 및 선도 준수 여부를 점검하고 있으며 근무자 및 가맹 경영주의 위생 및 선도 인식 제고를 위해 지속적으로 교육 및 위생관리 캠페인을 진행하고 있다.,s
국내외,국내외 대량판매상품을 대상으로 공유 앱 Trello를 이용하여 RISK 재점검을 수행하고 있으며 국내외 대량판매상품을 대상으 로 공유 앱 Trello를 이용하여 RISK 재점검을 수행하고 있습니다.,s
프로세스,입점 결정 후 거래 계약을 체결하기 위한 필요 사항 안내 및 상호 협의 입점 결정 후 거래 계약을 체결하기 위한 필요 사항 안내 및 상호 협의 입점 결정 후 거래 계약을 체결하기 위한 필요 사항 안내 및 상호 협의 입점 결정 후 거래 계약을 체결하기 위한 필요 사항 안내 및 상호 협의 입점 결정 후 거래 계약을 체결하기 위한,s
안전성,대량판매상품 모니터링을 위해 무작위로 상품을 구매한 후 공인기관에 시험 의뢰하여 상품 안전성을 재 점검하고 있습니다.,s
화장품,원사직물시험연구원 등 4개 기관 연계하여 의류 섬유 화장품 생활화학에 대한 시험 분석 비용을 감면 받을 수 있도록 지원 의류 섬유 화장품 생활화학에 대한 시험 분석 비용을 감면 받을 수 있도록 지원 의류 섬유 화장품 생활화학에 대한 시험 분석 비용을 감면 받을 수 있도록 지원 의류 섬유 화장품 생활화학에 대한 시험 분석 비용을,s
안전관리,안전한 작업 환경 구성을 위해 안전관리 기준 준수 여부 및 리스크를 관리 하고 있습니다.,s
경영주,가맹경영주가 일상생활에서 법률적 도움이 필요한 경우를 대비하여 변호사를 통한 법률 자문서비스를 제공하고 있습니다.,s
매뉴얼,회사의 전 구성원은 안전 보건 활동 계획과 안전 보건 매뉴얼을 준수하여 중대재해 및 산업재해 예방활동에 적극 동참한다.,s
HACCP,GS리테일은 제품을 공급하거나 공급을 원하는 협력업체를 대상으로 관련 법규 위반 여부를 점검하고 문제사항이 발생할 경우 개선 피드백을 요청합니다.,s
가맹점,GS리테일은 동종 업계 최초로 가맹점의 조속한 정상화와 영업활동 매진을 위해 약 30.2억원 규모의 일상회복 상생지원금을 가맹점에 일괄 지급하였고 2022년에 전화 사기 피해 보상 보험의 도입을 통해 가맹점주의 부담을 덜어 주고자 한다.,s
이사회,GS리테일은 투명하고 건전한 지배구조 확립을 통해 지속가능한 의사결정 체계를 마련하고 있으며 대표이사와 이사회 의장을 분리하여 이사회 독립성을 강화하고 이사회 산하에 위원회를 두어 전문성을 제고하고 있다.,g
사내이사,사내이사의 보수는 이사보수한도 범위 내에서 집행임원인사관리규정과 임원의 역할 기여도 및 전문성 등을 종합적으로 고려하여 기본급 수준을 결정하고 성과급은 정량 및 정성을 종합적으로 고려하여 지급 수준을 결정합니다.,g
감사위원회,사외이사 신동윤의 중도 퇴임에 따라 제51기 정기주주총회에서 감사위원회 위원이 되는 사외이사로 이성락을 신규 선임하였습니다.,g
주주총회,GS리테일은 공정하고 투명한 사외이사 선임을 위해 관련 법령에서 요구하는 사외이사 적격 요건에 대한 부합 여부를 최우선적으로 검증하고 사외이사 후보추천위원회에서 심도 깊은 심의를 거쳐 주주총회에 추천할 후보를 확정한다.,g
ESG,GS리테일은 임직원의 환경 인식 제고를 위해 Micro learning 활용 및 외부 전문강사를 초빙하여 강의를 진행하고 있으며 특히 최신 트렌드 에 맞는 환경교육을 지속 업로드 하고 있으며 유통업계 ESG 이슈 및 행동지침에 대한 교육을 진행하는 등 적 극 기여하고 있습니다.,g
전문성,사외이사의 보수는 업무영역 전문성 대내 외 경영환경 동종업계 보수 수준 등을 고려하여 보수 수준을 결정하고 있습니다.,g
